"Year","Biomass","Catch","SP"
1976,14300,2410,1010
1977,12700,1520,-80
1978,12700,1820,1820
1979,12100,2470,1870
1980,10800,2750,1450
1981,9500,2440,1140
1982,8160,2250,910
1983,6820,1500,160
1984,6070,1430,680
1985,6270,1930,2130
1986,6170,1450,1350
1987,6490,1790,2110
1988,6360,2050,1920
1989,6110,2220,1970
1990,5320,1840,1050
1991,4770,1590,1040
1992,4570,1390,1190
1993,4700,1150,1280
1994,4630,820,750
1995,4820,811,1001
1996,5170,843,1193
1997,5170,773,773
1998,5690,398,918
1999,6430,484,1224
2000,7040,255,865
2001,9880,233,3073
2002,12900,615,3635
2003,16200,1070,4370
2004,18600,193,2593
2005,22200,360,3960
2006,24600,410,2810
2007,26200,253,1853
2008,27200,171,1171
