"Date","Location","Age","Length"
"6/4/2013 0:00","Cordell Bank",12,637
"6/4/2013 0:00","Cordell Bank",11,638
"6/4/2013 0:00","Cordell Bank",2,475
"6/5/2013 0:00","SF fisherman",14,590
"6/5/2013 0:00","SF fisherman",16,542
"6/5/2013 0:00","SF fisherman",12,583
"6/5/2013 0:00","SF fisherman",13,540
"6/5/2013 0:00","SF fisherman",16,599
"6/5/2013 0:00","SF fisherman",9,559
"6/5/2013 0:00","SF fisherman",41,576
"6/5/2013 0:00","SF fisherman",7,482
"6/5/2013 0:00","SF fisherman",14,595
"6/5/2013 0:00","SF fisherman",23,563
"6/5/2013 0:00","SF fisherman",21,568
"6/5/2013 0:00","SF fisherman",9,570
"6/5/2013 0:00","SF fisherman",51,561
"6/5/2013 0:00","SF fisherman",12,563
"7/9/2013 0:00","Cordell Bank",12,652
"7/9/2013 0:00","Cordell Bank",12,560
"7/9/2013 0:00","Cordell Bank",5,480
"7/9/2013 0:00","Cordell Bank",13,658
"8/25/2012 0:00","SF Fisherman",11,544
"8/25/2012 0:00","SF Fisherman",12,595
"8/25/2012 0:00","SF Fisherman",13,531
"8/25/2012 0:00","SF Fisherman",12,510
"8/25/2012 0:00","SF Fisherman",7,545
"8/25/2012 0:00","SF Fisherman",12,554
"8/25/2012 0:00","SF Fisherman",14,554
"8/25/2012 0:00","SF Fisherman",3,500
"8/27/2012 0:00","Cordell Bank",9,640
"8/27/2012 0:00","Cordell Bank",12,556
"8/27/2012 0:00","Cordell Bank",4,464
"8/27/2012 0:00","Cordell Bank",4,500
"8/27/2012 0:00","Cordell Bank",8,689
"9/28/2012 0:00","Cordell Bank",2,515
"9/28/2012 0:00","Cordell Bank",3,488
"9/28/2012 0:00","Cordell Bank",10,565
"10/30/2012 0:00","Cordell Bank",4,520
"10/30/2012 0:00","Cordell Bank",3,496
"10/30/2012 0:00","Cordell Bank",6,509
"10/30/2012 0:00","Cordell Bank",9,622
"10/30/2012 0:00","Cordell Bank",9,651
"12/11/2012 0:00","Cordell Bank",3,575
"12/11/2012 0:00","Cordell Bank",14,660
"4/23/2013 0:00","Cordell Bank",6,612
"4/23/2013 0:00","Cordell Bank",4,582
"4/23/2013 0:00","Cordell Bank",12,590
"4/23/2013 0:00","Cordell Bank",8,614
